Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Tenants Contents Insurance 2024-2029,None,Opportunity,Open,YO12 7BH,"2 October 2023, 12pm","£100,000 to £675,000",23 August 2023
NottAlone Website - Adult expansion,None,Opportunity,Open,East Midlands,"21 September 2023, 12pm","£39,000",23 August 2023
ACCESS - Communications & Engagement Service,None,Opportunity,Open,SO23 8UJ,"29 September 2023,  2pm","£180,000 to £500,000",23 August 2023
GB-Middlesbrough: Cladding Replacement Cook Building,None,Opportunity,Open,North East,"22 September 2023,  5pm","£100,000 to £500,000",23 August 2023
Development and expansion of existing food price modelling system,None,Future opportunity,Open,SW1P 3JR,Approach to market date13 September 2023,£0,"17 April 2023, last edited 23 August 2023"
NHS Net Zero Building Standard Beta Review,None,Opportunity,Open,LS2 7UE,"15 September 2023, 12pm","£80,000",23 August 2023
"CA12787 - UNI0823 | Provision of Internal and External Audit Services, Harper Adams University",None,Opportunity,Open,TF10 8NB,"5 January 2024, 12pm",£0,23 August 2023
"CST103 Supply of First Aid Requisites, Medical Supplies and PPE",None,Opportunity,Open,England,"27 September 2023, 11am","£215,000",23 August 2023
"Refurbishment and Renewal of 3 Communal Lifts - Deens Court Hereford, Holton House Corsham, and Glovers Court Malmesbury",None,Opportunity,Open,SN14 0GU,"22 September 2023, 12pm","£350,000 to £378,000","23 August 2023, last edited 23 August 2023"
ORR Highways Future 2023/24 Programme of Consultancy and Research,None,Early engagement,Open,E14 4QZ,11 September 2023,"Publication date23 August 2023, last edited 23 August 2023",None
UK_2023_Supply of Media Performance Agency English Online,None,Opportunity,Open,E20 1JQ,"3 October 2023,  2pm",£0,23 August 2023
Elections Digital Media,None,Opportunity,Open,Yorkshire and the Humber,"25 September 2023,  1pm","£160,000 to £200,000",23 August 2023
Hydrogen Compressor for HyDUS,None,Opportunity,Open,OX14 3DB,"19 September 2023, 12pm","£50,000 to £73,000",23 August 2023
SLaM Minor Alternations to the ID Lodge,None,Opportunity,Open,BR3 3BX,"14 September 2023, 12pm","£70,000",23 August 2023
SBC0823 Disposal of Recyclable Plastics and Cans,None,Opportunity,Open,SG1 1HN,"22 September 2023, 12pm",£0,23 August 2023
"CWC23128 - Bilston Health & Wellbeing Facility: Principal Designer, Lead Designer, Architect Services and Landscape Architect Services",None,Opportunity,Open,West Midlands,"15 September 2023, 12pm","£60,000",23 August 2023
CHIC Windows & Doors Framework 2023,None,Opportunity,Open,B18 6DS,"15 September 2023,  3pm","£270,000,000","17 July 2023, last edited 23 August 2023"
ANN-23-24-05 Capital Referrals Tenanted one offs,None,Opportunity,Open,North West,"15 September 2023, 12pm","£400,000",23 August 2023
2023-643 Prov of Dairy farm physical & financial data gathered across GB,None,Opportunity,Open,CV3 4PE,"25 September 2023, 12pm","£40,000 to £120,000",23 August 2023
2023 CCTV Infrastructure,None,Opportunity,Open,United Kingdom,"15 September 2023, 12pm","£95,000",23 August 2023
"Contract for the installation of new accessible mooring, associated access and refurbishment of an existing building to provide a store at Riverside Park in Crowmarsh Gifford near Wallingford.",None,Opportunity,Open,England,"22 September 2023, 11:30pm",£0,23 August 2023
Supply of Paper for Book Production/OPEN/PRO/2023,None,Opportunity,Open,England,"21 September 2023, 12pm","£1,000,000 to £3,000,000",22 August 2023
Re-procurement Abney Park Cemetery - Delivery of food and drink (Class E) and community room management (Class F1/F2),None,Opportunity,Open,England,"6 October 2023, 12pm","£140,000",22 August 2023
Electric Vehicle Super Hub,None,Opportunity,Open,MK9 3EJ,"29 September 2023, 12pm",£0,22 August 2023
SC230121 - Making Every Contact Count (MECC) Training with Train the Trainer Programme,None,Opportunity,Open,England,"11 September 2023, 12pm","£76,500","18 August 2023, last edited 22 August 2023"
Tender for the provision of Withington Primary School Roofing Works,None,Opportunity,Open,West Midlands,"20 September 2023, 11:59pm","£285,000","17 August 2023, last edited 22 August 2023"
The Provision of Vehicle and Plant Spares and Components and Associated Services,None,Opportunity,Open,England,"21 September 2023, 11am",£0,22 August 2023
Monitoring of Radioactivity in Air and Rainwater,None,Opportunity,Open,SW1P 3JR,"27 September 2023, 12pm","£1 to £640,000","22 August 2023, last edited 22 August 2023"
Papplewick Pumping Station conservation works,None,Opportunity,Open,East Midlands,"20 September 2023, 12am","£475,000",22 August 2023
Grounds Maintenance Contract,None,Opportunity,Open,RH6 7HZ,"29 September 2023, 12pm","£75,000",22 August 2023
Girls in Rwanda Learn (GIRL) EME,None,Early engagement,Open,G75 8EA,14 September 2023,Publication date22 August 2023,None
NHS England South West - Integrated Non-Custodial Healthcare Services -- Networking Event,None,Early engagement,Open,South West,27 September 2023,Publication date22 August 2023,None
GB-Liverpool: CT SCANNER - FOR USE WITHIN THE SMALL ANIMAL TEACHING HOSPITAL,None,Opportunity,Open,North West,"12 September 2023, 12pm","£500,000 to £1,000,000",22 August 2023
Destination Parks - Berry Hill Park,None,Opportunity,Open,East Midlands,"3 October 2023, 12pm","£2,650,000",22 August 2023
GB-Liverpool: BRANDING AND WEBSITE DEVELOPMENT,None,Opportunity,Open,North West,"11 September 2023, 12pm","£25,000 to £50,000",22 August 2023
Tender for the Provision of a Transcranial Ultrasound Stimulation (TUS) System For the University of Birmingham,None,Opportunity,Open,B15 2TT,"21 September 2023, 12pm","£295,238","22 August 2023, last edited 22 August 2023"
GB-Liverpool: PR AND COPYWRITING,None,Opportunity,Open,North West,"11 September 2023, 12pm","£50,000 to £100,000",22 August 2023
CST056 Supply of ICT Hardware Collection & Disposal,None,Opportunity,Open,East Midlands,"15 September 2023, 11am","£96,000","28 July 2023, last edited 22 August 2023"
Bat Literature Review Project,None,Opportunity,Open,United Kingdom,"25 September 2023, 11:59pm","£10,000 to £25,000","11 August 2023, last edited 22 August 2023"
PIN for RD - South Trench Cap Membrane Replacement Project (Scope Amendment),None,Early engagement,Open,CA20 1DB,15 September 2023,Publication date22 August 2023,None
Concept Masterplan For Station Approach Winchester - Consultancy Services,None,Opportunity,Open,South East,"22 September 2023, 12pm","£135,000","21 August 2023, last edited 22 August 2023"
Public responsive research panel,None,Opportunity,Open,EX1 3PB,"15 September 2023, 12pm","£60,000",22 August 2023
Deerbush New Build,None,Opportunity,Open,North East,"26 September 2023,  9am","£1,000,000 to £3,500,000",22 August 2023
GB-London: LGA Campaign for Local Government,None,Opportunity,Open,Any region,"15 September 2023,  5pm","£50,000 to £100,000",22 August 2023
GB-London: Historic Ship Research,None,Opportunity,Open,Any region,"14 September 2023, 12pm","£25,000 to £50,000","18 August 2023, last edited 22 August 2023"
"PM-23-24-20 Capital Referral Pointing, Cavity Wall extract and Insulation",None,Opportunity,Open,North West,"15 September 2023, 12pm","£100,000",22 August 2023
Framework for the Winter Maintenance Provision of Owner Operator Power Gritters from Council Depots.,None,Opportunity,Open,England,"13 September 2023, 12pm","£10,000",22 August 2023
Building Fire Engineering Consultancy Services,None,Opportunity,Open,England,"19 September 2023, 12pm","£30,000",22 August 2023
Leeds Building Services - Isolated Rewires Including Kitchens and Bathrooms,None,Opportunity,Open,LS11UR,"27 September 2023, 12pm","£0 to £1,200,000",22 August 2023
External Repointing and Roof Repair Works at Arnot St Mary CoE Primary School,None,Opportunity,Open,England,"20 September 2023,  4pm","£250,000",22 August 2023
Plymouth Electron Microscopy Centre (PEMC) Relocation and Associated Works,None,Opportunity,Open,South West,"18 September 2023, 12pm",£0,22 August 2023
Servicing of Smoke Control Systems V2,None,Opportunity,Open,West Midlands,"19 September 2023,  3pm","£150,000",22 August 2023
"Supply, Delivery, Installation & Commissioning of a Material Handler",None,Opportunity,Open,TS2 1AH,"22 September 2023,  1pm",£0,22 August 2023
BA Equipment and ERT Training,None,Opportunity,Open,EN6 3QG,"22 September 2023, 11:45pm","£105,000",22 August 2023
67 Cornish Crescent Truro - Disabled Adaption Works,None,Opportunity,Open,England,"18 September 2023,  2pm","£100,000",22 August 2023
Aviation Safety Audits of Crown Dependencies (Procurement Opportunity),None,Opportunity,Open,SW1P 4DR,"25 September 2023, 12pm","£104,900",22 August 2023
Window Replacement,None,Opportunity,Open,United Kingdom,"18 September 2023,  4pm","£150,000",22 August 2023
"SHDF Retrofit Works - Windlehurst, St.Helens",None,Opportunity,Open,North West,"3 October 2023, 12pm","£1,900,000",22 August 2023
"SHDF Retrofit Works - Haresfinch, St.Helens",None,Opportunity,Open,North West,"3 October 2023, 12pm","£1,700,000",22 August 2023
Employment Kirklees Programme  (Aged over 25),None,Opportunity,Open,Yorkshire and the Humber,"2 October 2023,  1pm","£490,000 to £500,000",22 August 2023
For Inclusion on a Dynamic Purchasing System (DPS) for education services for children and young people with Special Educational Needs and Disabilities,None,Opportunity,Open,East Midlands,"22 September 2023, 10am","£30,000,000 to £60,000,000",22 August 2023
RHUL-24001 - Procurement of an Ultra High Vacuum (UHV) Josephson Junction fabrication Tool for Superconducting Quantum Circuits and Associated Requirements,None,Opportunity,Open,South East,"21 September 2023, 11am","£5,000,000",22 August 2023
"Appointment of Theatre Consultant Services for Levelling Up Project at Malvern Theatre, Grange Road, Malvern",None,Opportunity,Open,England,"22 September 2023, 12pm",£0,22 August 2023
"Appointment of Mechanical & Electrical Design Services for Levelling Up Project at Malvern Theatre, Grange Road, Malvern WR14 3HB",None,Opportunity,Open,England,"22 September 2023, 12pm",£0,22 August 2023
Belper River Gardens - Car Park Resurfacing Works,None,Opportunity,Open,DE5 3BT,"15 September 2023, 12pm",£0,22 August 2023
Framework for the Supply and Installation of Timber and Metal Fencing and Gates,None,Opportunity,Open,North East,"12 September 2023, 12pm","£1,530,000 to £1,536,000",22 August 2023
End Point Assessment,None,Opportunity,Open,LS1 4AP,"20 September 2023, 12pm","£2,640,000","18 August 2023, last edited 22 August 2023"
PQ0464 - Developing a Bolder Arts and Culture Strategy for Birmingham (2023-2033),None,Opportunity,Open,B4 7DJ,"6 October 2023, 12pm","£30,000","19 July 2023, last edited 22 August 2023"
Digital Workplace Solutions 2 (SBS10510),None,Early engagement,Open,United Kingdom,19 September 2023,Publication date22 August 2023,None
Killamarsh SNT New Build,None,Opportunity,Open,DE5 3RS,"18 October 2023, 12pm","£900,000 to £1,000,000",22 August 2023
KRN Parapet Refurbishment Scheme 2023/24,None,Opportunity,Open,England,"22 September 2023, 12pm","£120,000",22 August 2023
The Provision of Lead Architectural Design and Consultancy Services and Principal Designer -Stages 1-7 - for the delivery of the  Rawtenstall Market,None,Opportunity,Open,OL13 0BB,"15 September 2023, 12pm",£0,22 August 2023
Quotation for Bespoke Wedding Photography and Videography at Selected Venues within Sandwell MBC WBP0407,None,Opportunity,Open,B69 3DE,"15 September 2023,  3pm","£20,000 to £40,000",22 August 2023
ASC0236 - Provision of intrauterine devices and systems (IUD/S) & provision of sub-dermal Implants (SDI) for contraception and the provision of IUS for non-contraceptive purposes,None,Opportunity,Open,East Midlands,"31 March 2024,  4pm","£1,615,000",22 August 2023
626_24 Plastic Storage Containers,None,Opportunity,Open,United Kingdom,"22 September 2023, 12pm","£1,000,000",22 August 2023
Tender for the provision of Surveys for Visit Erewash Campaign,None,Opportunity,Open,East Midlands,"22 September 2023, 12pm","£25,000",22 August 2023
Skills and Employment Life Opportunities - Lot 1A Framework Agreement for Adults with Learning Disabilities and/or Autism,None,Opportunity,Open,NR1 2DH,"25 September 2023,  9am","£95,000,000","17 August 2023, last edited 22 August 2023"
BOREALIS - RFI,None,Early engagement,Open,BS34 8JH,15 September 2023,"Publication date18 August 2023, last edited 22 August 2023",None
Premarket Engagement for the Future Purchase of a Fluorescence Activated Cell Sorter (FACS) Instrument and Associated Post Installation Services,None,Early engagement,Open,SE1 9RT,12 September 2023,Publication date22 August 2023,None
GB-London: Framework Agreement for Minor Works at Imperial War Museums (IWM),None,Opportunity,Open,Any region,"11 September 2023, 12pm","£1,000,000 to £5,000,000",22 August 2023
Unitas Electrical Rewires Framework,None,Opportunity,Open,West Midlands,"3 October 2023, 12pm","£1,400,000",22 August 2023
Premarket Engagement Specification for Custom column packing service (cGMP and non-cGMP grade),None,Early engagement,Open,SE1 9RT,12 September 2023,"Publication date22 August 2023, last edited 22 August 2023",None
Premarket Engagement Specification for Transmission electron cryomicroscopy assay (Cryo-TEM Assay),None,Early engagement,Open,SE1 9RT,12 September 2023,Publication date22 August 2023,None
EN:Procure - Framework for New Build Housing (2023-2027),None,Opportunity,Open,England,"10 October 2023, 12pm","£0.01 to £700,000,000","2 June 2023, last edited 22 August 2023"
For the Provision of a Salary Benchmarking Exercise,None,Opportunity,Open,North West,"15 September 2023,  5pm","£45,000",22 August 2023
Purchase of Medium Hatchback Vehicles for British Forces Cyprus,None,Opportunity,Open,Any region,"28 September 2023, 11am","£123,900",22 August 2023
TEKH1429 Mechanical Thrombectomy - Enabling Works,None,Opportunity,Open,TN24 0LZ,"18 September 2023, 12pm","£200,000",22 August 2023
2023-2024-009: Migrant Rent Deposit Scheme,None,Opportunity,Open,South East,"6 October 2023, 12am","£300,000","14 August 2023, last edited 22 August 2023"
Framework Agreement for the Provision of Electrical and Mechanical Works to Public Buildings,None,Opportunity,Open,West Midlands,"22 September 2023, 12pm","£560,000",22 August 2023
707397450 - Procurement and In-Service Support of a Radiological and Nuclear Detector PIN CF,None,Early engagement,Open,BS34 8JH,2 October 2023,Publication date22 August 2023,None
GB-Newcastle upon Tyne: T23/0009 - Tribometer,None,Opportunity,Open,North East,"12 September 2023,  1pm","£50,000 to £100,000",21 August 2023
"GMIP New Fuel Tank Installation Rabat, Morocco",None,Opportunity,Open,MK19 7BH,"11 September 2023,  1pm",£0,21 August 2023
L23115-T-TG Feasibility Study for a new hotel at London Luton Airport Stage II - Search through to contract negotiation,None,Opportunity,Open,LU2 9LY,"14 September 2023, 12pm","£1,200,000 to £200,000",21 August 2023
DIAGNOSTIC ASSESSMENT PROVISION FOR STUDENTS,None,Opportunity,Open,London,"21 September 2023, 12pm","£135,000",21 August 2023
Treasury Advisory Services,None,Opportunity,Open,North West,"18 September 2023,  4pm",£0,21 August 2023
Commercial Cleaning to Key Worker and Student Accommodation Sites,None,Opportunity,Open,"East Midlands, South East","20 September 2023,  5pm","£7,350,000",21 August 2023
University Hospitals of North Midlands NHS Trust - NOM4224 Link Bus service,None,Opportunity,Open,ST4 6QG,"25 September 2023,  5pm","£2,000,000 to £2,750,000",21 August 2023
Advocacy Service,None,Opportunity,Open,England,"18 September 2023, 12pm","£157,197",21 August 2023
Provision of Apprenticeship Training Services to the University of Birmingham (Dynamic Purchasing System),None,Opportunity,Open,B15 2TT,"20 September 2023, 12pm",£0,21 August 2023
GB-Egham: RHUL-24012 Communication Collaboration and Personal Effectiveness Training Services,None,Opportunity,Open,South East,"11 September 2023,  3pm","£50,000 to £100,000",21 August 2023
"Parkway Surface car park and entrance carriageway, Bury St Edmunds, Suffolk",None,Opportunity,Open,IP33 3YU,"15 September 2023, 12pm",£0,21 August 2023
Business Case for Cafe and Visitor Facility at The Leasowes,None,Opportunity,Open,DY1 1HF,"20 September 2023, 12pm","£0 to £25,000","21 August 2023, last edited 21 August 2023"
Temporary Sport Production Facilities (Systems Integrators) for Paris 2024 Olympic Games,None,Opportunity,Open,Any region,"25 September 2023, 10am","£1,000,000",21 August 2023
PRINCE2 Foundation Materials Provider,None,Opportunity,Open,L3 2AJ,"21 September 2023, 12pm",£0,"21 August 2023, last edited 21 August 2023"
IWM/2324/DCM/3198: Capital Purchase of a Film Scanner for Department of Collections Management at Imperial War Museums,None,Opportunity,Open,Any region,"21 September 2023,  5pm","£700,000",21 August 2023
PRINCE2 Foundation Materials Provider,None,Opportunity,Open,L3 5UG,"21 September 2023, 12pm",£0,21 August 2023
Scientific Services,None,Opportunity,Open,"England, Scotland, Wales","20 September 2023,  4pm",£0,21 August 2023
PRJ-1289-NHSE-New Mill St Practice APMS SEL ICB Southwark ITT,None,Opportunity,Open,England,"26 September 2023,  1pm","£9,441,615","16 August 2023, last edited 21 August 2023"
Inequalities Framework - Stakeholder Research and Engagement,None,Opportunity,Open,WC1V 7JH,"11 September 2023, 12pm","£20,000 to £30,000",21 August 2023
"Special Educational Needs and Disability Information, Advice and Support Service (SENDIASS).",None,Opportunity,Open,SO23 8UJ,"18 September 2023,  2pm","£2,100,000","21 August 2023, last edited 21 August 2023"
CA12777 - Kirklees College - Reptile Facility,None,Opportunity,Open,HD1 5NN,"29 September 2023,  1pm",£0,"21 August 2023, last edited 21 August 2023"
Design Requirement Consultancy for the East GLH Genomics Hub at CUH,None,Opportunity,Open,CB2 0QQ,"20 September 2023,  1pm","£0 to £100,000",21 August 2023
LOLER Inspections,None,Opportunity,Open,England,"20 September 2023,  5pm","£300,000",21 August 2023
HCC - 08/23 - Pre-Procurement Market Engagement (PPME) for the provision of Electric Vehicle Infrastructure,None,Opportunity,Open,SG13 8DE,"11 September 2023, 12pm",£0,21 August 2023
Healthwatch Stoke-on-Trent (ASCHIW/2023/431*),None,Opportunity,Open,ST4 1HH,"27 September 2023, 12pm","£458,750",21 August 2023
Replacement of Air Quality (NOx and PM10) Analysers,None,Opportunity,Open,England,"11 September 2023, 12pm","£40,000",21 August 2023
CA12780 - Supply and Maintenance of an Accounting Software Package,None,Opportunity,Open,TS17 6FB,"20 September 2023,  5pm",£0,21 August 2023
"Structural & General Building Repairs Court Park Bowls Club, Uxbridge, UB10 9JX",None,Opportunity,Open,UB8 1UW,"22 September 2023, 12pm","£50,000",21 August 2023
UKRI-3105 Framework Agreement for MLC@Harwell Design and Construction Works,None,Opportunity,Open,South East,"20 September 2023,  3pm","£95,000,000","21 August 2023, last edited 21 August 2023"
GB-Kings Lynn: Servicing of Council Air Conditioning Equipment,None,Opportunity,Open,East of England,"18 September 2023, 12pm","£10,000 to £25,000",21 August 2023
"HSE RFQ - UAV (UNMANNED AERIAL VEHICLE/DRONE) FITTED WITH A LIDAR SYSTEM, CAMERA AND SOFTWARE",None,Opportunity,Open,SK17 9JN,"22 September 2023,  1pm","£1,000 to £53,333.33",21 August 2023
The Provision of  Interpretation and Translation Services,None,Opportunity,Open,England,"20 September 2023, 12pm","£1,200,000",21 August 2023
Recognising Domestic Abuse Perpetrator Behaviour Training for Gloucestershire OPCC,None,Opportunity,Open,South West,"22 September 2023,  4pm",£0,21 August 2023
PS23234 - Physical and Mechanical Properties of 3D Printed Concrete,None,Opportunity,Open,Any region,"18 September 2023, 11am","£0 to £50,000",21 August 2023
Public Toilet refurbishment with Changing Places facility,None,Opportunity,Open,SY11 2PA,"15 September 2023,  4pm","£350,000","21 August 2023, last edited 21 August 2023"
"WDC - Memorial safety inspections, maintenance and repair",None,Opportunity,Open,CV32 5HZ,"20 September 2023, 12pm","£150,000 to £200,000",21 August 2023
Provision of Diversity and Inclusion Training for ONR,None,Opportunity,Open,L20 7HS,"4 October 2023,  1pm",£1,21 August 2023
Fire Door Remedials Rivers House,None,Opportunity,Open,TA6 4YS,"12 September 2023, 11:59pm","£3,000 to £10,000",21 August 2023
Replacement window frames and glass replacement with new shutters to Pavilion,None,Opportunity,Open,TN8 5HL,"22 September 2023,  5pm","£40,000 to £85,000",21 August 2023
"LPS CAS - A59 / Holm Road Roundabout, Barrow nr Clitheroe - LCC22996",None,Opportunity,Open,North West,"19 September 2023, 10am","£360,000",21 August 2023
Residences Redevelopment Programme,None,Opportunity,Open,North West,"20 September 2023, 12pm","£275,000,000 to £400,000,000",21 August 2023
Energy Centre drainage alterations,None,Opportunity,Open,South West,"22 September 2023, 12pm",£0,21 August 2023
Tender for the Supply and Implementation of Procure to Pay Solution Services (Catering),None,Opportunity,Open,B15 2TT,"20 September 2023, 12pm","£0 to £12,000,000",21 August 2023
Beresford Drive Play Park,None,Opportunity,Open,IP121QT,"10 October 2023,  4pm","£20,000 to £80,000",21 August 2023
Pre Market Engagement - How It Looks To Me Application Development,None,Early engagement,Open,England,15 September 2023,Publication date21 August 2023,None
Provision of a Third Party Assessor of Threat Image Projection (TIP) Image Libraries and Collation of TIP Data,None,Opportunity,Open,Any region,"20 September 2023, 12pm","£100,000",21 August 2023
Wet room refurbishments,None,Opportunity,Open,EX2 5DW,"22 September 2023, 12pm",£0,21 August 2023
Reducing Reoffending: Commissioning of Drugs and Alcohol Services for Criminal Justice Service Users,None,Opportunity,Open,West Midlands,"25 September 2023, 12pm","£0 to £720,000",21 August 2023
PM-23-24-06 Windows and Doors including Clough Court,None,Opportunity,Open,North West,"15 September 2023, 12pm","£450,000",21 August 2023
CA12774 - Maintenance Services for Catering Equipment (Dishwashers).,None,Opportunity,Open,SS2 6GE,"20 September 2023,  1pm",£0,21 August 2023
New Slipway in Mevagissey Harbour,None,Opportunity,Open,South West,"18 September 2023,  5pm","£100,000 to £130,000","10 August 2023, last edited 21 August 2023"
TVCA-PROC-0236 Project Management and Creative Advisor Services,None,Opportunity,Open,North East,"18 September 2023, 12pm","£32,500",21 August 2023
Window Cleaning Services,None,Opportunity,Open,DY2 8PS,"11 September 2023,  1pm","£84,000",21 August 2023
GB-Stanstead / Thetford: Building relocation and Refurbishment,None,Opportunity,Open,East of England,"15 September 2023, 12am","£100,000 to £500,000",21 August 2023
LPS CAS - M55 Heyhouses Link Road - Surfacing - LCC22902,None,Opportunity,Open,North West,"19 September 2023, 12pm","£1,750,000",21 August 2023
Storage & Removals,None,Opportunity,Open,RM17 6SL,"22 September 2023, 12pm","£400,000","18 August 2023, last edited 21 August 2023"
Insurance Broker,None,Opportunity,Open,London,"4 October 2023,  2pm",£1,21 August 2023
Repair of Clevedon Seawall Phase Two - Marine Lake,None,Opportunity,Open,United Kingdom,"22 September 2023,  5pm","£80,000","21 August 2023, last edited 21 August 2023"
Trees and Woodlands as Nature Based Solutions,None,Opportunity,Open,Any region,"21 September 2023, 12pm","£300,000",21 August 2023
Box Lane Playground Development,None,Opportunity,Open,GL6 9DH,"9 October 2023,  4pm","£65,000",21 August 2023
Health Checks,None,Opportunity,Open,Yorkshire and the Humber,"20 September 2023,  5pm","£0 to £925,000",18 August 2023
​Bradford District Heat Network,None,Opportunity,Open,Yorkshire and the Humber,"26 September 2023, 10am",£0,18 August 2023
All age Substance Misuse Services,None,Opportunity,Open,England,"26 September 2023, 12pm","£90,000,000",18 August 2023
PRJ-1304-SEL ICB-Bromley All-Age Mental Health and Wellbeing and Adults Learning Disabilities Needs Assessment - Market Engagement Event,None,Future opportunity,Open,England,Approach to market date11 September 2023,"£60,000",18 August 2023
CPT_23_02 Financial Audit Temporary and Permanent Recruitment services,None,Opportunity,Open,Any region,"25 September 2023, 12pm","£10,024,166.67",18 August 2023
Electronic Bus Stop Infrastructure and Associated Works,None,Opportunity,Open,England,"20 September 2023, 12pm","£1,000,000 to £5,000,000",18 August 2023
Roof Replacement Works,None,Opportunity,Open,South East,"18 September 2023,  5pm",£0,18 August 2023
Inclusive Leadership Programme,None,Opportunity,Open,M1 5JW,"12 September 2023,  1pm","£166,000",18 August 2023
WDC - DPS for provision of Temporary Accommodation within Warwick DIstrict,None,Opportunity,Open,CV32 5HZ,"18 September 2023, 12pm","£250,000 to £2,500,000","18 August 2023, last edited 18 August 2023"
WLBC 2023 Tenant Perception Survey and Reporting,None,Opportunity,Open,United Kingdom,"11 September 2023,  4pm","£15,000",18 August 2023
University of Winchester - Thriving Through Childhood and Beyond Project,None,Opportunity,Open,SO22 4NR,"29 September 2023, 12pm","£90,000",18 August 2023
Marden - Herefordshire - Design and Build of 90nr Mixed Tenure Residential Dwellings along with associated external works and services.,None,Opportunity,Open,B37 7YN,"18 September 2023,  5pm","£0 to £14,000,000","18 August 2023, last edited 18 August 2023"
Tamar Bridge Principal Inspection & Routine Maintenance of Gantries,None,Opportunity,Open,England,"24 September 2023, 11:59pm","£400,000 to £550,000",18 August 2023
Installation of Fire & Security Systems for Vision Retail Park at NMRN-Hartlepool (Reissue),None,Opportunity,Open,TS24 0XZ,"20 September 2023, 12pm",£0,"15 August 2023, last edited 18 August 2023"
Provision of Marketing Technology Service,None,Opportunity,Open,"London, South West","25 September 2023, 12pm","£2,280,000","18 August 2023, last edited 18 August 2023"
Curriculum Management System,None,Opportunity,Open,M5 4WT,"15 September 2023, 12pm","£250,000 to £750,000","15 August 2023, last edited 18 August 2023"
Worsbrough Branch Library,None,Opportunity,Open,S70 2DR,"14 September 2023, 12pm","£150,000 to £200,000",18 August 2023
Four Houses Corner Japanese Knotweed Rhizome Remediation Works,None,Opportunity,Open,RG14 5LD,"18 September 2023, 11am","£100,000",18 August 2023
Statutory & Multi-Specialty Audit Services & Advisory Consultancy Serv.,None,Opportunity,Open,CB21 5XB,"28 September 2023, 12pm","£60,000,000",18 August 2023
Shared Lives Re-Tender,None,Opportunity,Open,DY1 1HF,"29 September 2023,  3pm","£0 to £4,582,000","18 August 2023, last edited 18 August 2023"
IA3167 Framework for the Provision of Plant Hire for Household Waste Recycling Centres,None,Opportunity,Open,West Midlands,"18 September 2023, 12pm","£200,000 to £400,000",18 August 2023
"Supply & Maintenance of Whole Blood, Plasma, Platelet Transport Boxes",None,Opportunity,Open,BS34 7QH,"25 September 2023, 12pm","£2,002,050",18 August 2023
Bell Farm Modernisation,None,Opportunity,Open,Yorkshire and the Humber,"29 September 2023, 12pm","£4,421,232",18 August 2023
PS23245 - ESRC Postdoctoral Fellows (PDF) Development Programme,None,Opportunity,Open,SN2 1FL,"11 September 2023, 11am","£0 to £75,000","17 August 2023, last edited 18 August 2023"
SPS 2663 Calderwood Car Park,None,Opportunity,Open,England,"3 October 2023, 12pm","£1 to £10,000,000","18 August 2023, last edited 18 August 2023"
Using Systematic Conservation Planning to consider climate change,None,Opportunity,Open,SW1P 3JR,"22 September 2023, 12pm",£0 to £1,18 August 2023
NHS South Yorkshire ICB :  Early Years Neighbourhood Pilot Service,None,Opportunity,Open,S9 4EU,"2 October 2023, 12pm","£0 to £964,000",18 August 2023
Provision of Equipment for NGX Virtual Production Studio,None,Opportunity,Open,London,"18 September 2023, 12am","£200,000",18 August 2023
11 Langton Road Falmouth Cornwall - Adaptions,None,Opportunity,Open,England,"18 September 2023,  2pm","£100,000",18 August 2023
GBC - Repair and Maintenance Measured Term Contracts,None,Opportunity,Open,GU2 4BB,"29 September 2023, 12pm",£0,18 August 2023
Physiotherapy Services,None,Opportunity,Open,Yorkshire and the Humber,"18 September 2023, 12pm","£20,000",18 August 2023
Public Realm Designer Services for Public Places in the Heart of Todmorden Project,None,Opportunity,Open,Yorkshire and the Humber,"22 September 2023, 12pm","£251,000",18 August 2023
"Y23057 - Plant Machinery, Grounds Maintenance and Site Equipment and Handheld Tools",None,Opportunity,Open,Any region,"27 October 2023,  2pm","£500,000,000",18 August 2023
Queensway Resurfacing,None,Opportunity,Open,Yorkshire and the Humber,"15 September 2023, 12pm","£80,000",18 August 2023
SCFT & ESHT: Provision of Dental Patient Management Software Service,None,Opportunity,Open,BN13 3EP,"18 September 2023, 10am","£25,000 to £250,000",18 August 2023
NCC1240 Swansfield Park Primary School Boiler Replacement,None,Opportunity,Open,England,"20 September 2023, 12pm","£100,000",18 August 2023
Sex Worker Support Service,None,Opportunity,Open,DN13BU,"22 September 2023, 12am",£0,18 August 2023
GB-Rickmansworth: Leavesden Country Park Entrance Widening Scheme,None,Opportunity,Open,East of England,"29 September 2023, 10am","£100,000 to £500,000",18 August 2023
Provision of Services for Global Mine Action Programme 3 (GMAP 3) - multi-country,None,Opportunity,Open,Any region,"28 September 2023, 12pm","£16,975,000",18 August 2023
Targeted Lung Health Checks - North Programme,None,Opportunity,Open,North East,"22 September 2023, 12pm","£15,450,900",18 August 2023
TVCA-PROC-0244 Production Village Consultancy (Formerly TVCA-PROC-0232),None,Opportunity,Open,North East,"13 September 2023, 12pm","£40,000",18 August 2023
"GB-Kings Lynn: Removal of the 'Tosca' Boat and associated materials  from the Nar Loop, King's Lynn",None,Opportunity,Open,East of England,"15 September 2023, 12pm","£50,000 to £100,000",18 August 2023
